,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,income_category
12310,-116.87,33.57,12.0,1153.0,265.0,446.0,195.0,3.038,INLAND,3
2779,-114.65,32.79,21.0,44.0,33.0,64.0,27.0,0.8571,INLAND,1
14391,-117.24,32.74,45.0,1718.0,293.0,757.0,329.0,4.05,NEAR OCEAN,3
16918,-122.35,37.57,52.0,2170.0,269.0,784.0,274.0,10.4286,NEAR OCEAN,5
9629,-121.0,37.25,31.0,1923.0,341.0,806.0,349.0,3.1738,INLAND,3
14922,-116.98,32.62,6.0,7995.0,1458.0,4771.0,1376.0,4.7068,NEAR OCEAN,4
12814,-121.5,38.62,8.0,16679.0,3457.0,7919.0,3329.0,3.7188,INLAND,3
976,-121.89,37.66,3.0,1565.0,464.0,769.0,461.0,2.1187,INLAND,2
14465,-117.23,32.81,22.0,3205.0,429.0,1083.0,410.0,8.1844,NEAR OCEAN,5
16475,-121.26,38.14,10.0,3371.0,665.0,1823.0,654.0,3.5333,INLAND,3
8011,-118.12,33.85,37.0,2584.0,453.0,1333.0,481.0,4.3661,<1H OCEAN,3
6375,-118.03,34.16,36.0,1640.0,239.0,693.0,253.0,6.6888,INLAND,5
7136,-118.1,34.02,37.0,1022.0,232.0,653.0,238.0,3.0625,<1H OCEAN,3
480,-122.28,37.86,41.0,2214.0,550.0,1213.0,568.0,2.2845,NEAR BAY,2
13260,-117.67,34.1,28.0,1263.0,248.0,601.0,219.0,3.875,INLAND,3
9776,-121.24,36.34,33.0,1691.0,308.0,792.0,262.0,2.6648,<1H OCEAN,2
11914,-117.44,33.95,31.0,914.0,177.0,556.0,161.0,3.7344,INLAND,3
8420,-118.34,33.93,37.0,1638.0,407.0,1341.0,369.0,3.0677,<1H OCEAN,3
14871,-117.11,32.62,27.0,1846.0,509.0,1078.0,482.0,2.1719,NEAR OCEAN,2
11281,-117.95,33.79,34.0,2584.0,408.0,1233.0,405.0,5.6935,<1H OCEAN,4
13252,-117.68,34.12,16.0,2181.0,321.0,1133.0,350.0,5.7214,INLAND,4
1179,-121.54,39.48,29.0,2896.0,596.0,1809.0,617.0,1.8047,INLAND,2
135,-122.2,37.83,26.0,1589.0,223.0,542.0,211.0,8.401,NEAR BAY,5
4191,-118.22,34.12,37.0,1298.0,242.0,750.0,255.0,5.2049,<1H OCEAN,4
14409,-117.22,32.78,22.0,2020.0,466.0,1010.0,429.0,3.4527,NEAR OCEAN,3
12248,-117.01,33.75,15.0,2873.0,903.0,1094.0,659.0,1.8015,INLAND,2
9264,-119.98,36.9,26.0,1284.0,239.0,820.0,254.0,2.5833,INLAND,2
8719,-118.37,33.84,27.0,3245.0,605.0,1572.0,556.0,5.3773,<1H OCEAN,4
2996,-119.04,35.31,11.0,2161.0,371.0,1267.0,388.0,4.1957,INLAND,3
5408,-118.45,34.03,41.0,2083.0,528.0,993.0,481.0,4.0231,<1H OCEAN,3
15410,-117.24,33.21,9.0,2486.0,626.0,1938.0,525.0,2.1293,<1H OCEAN,2
1176,-121.55,39.5,26.0,3215.0,827.0,2041.0,737.0,1.0585,INLAND,1
6168,-117.93,34.09,35.0,1891.0,353.0,1093.0,382.0,4.0167,<1H OCEAN,3
4508,-118.19,34.05,41.0,1098.0,264.0,1178.0,245.0,2.1058,<1H OCEAN,2
6452,-118.05,34.12,20.0,5218.0,959.0,2302.0,850.0,3.55,INLAND,3
3589,-118.45,34.25,34.0,2094.0,380.0,1207.0,380.0,5.2801,<1H OCEAN,4
6744,-118.07,34.12,43.0,1554.0,287.0,802.0,277.0,4.2312,INLAND,3
6982,-118.01,33.96,36.0,1805.0,288.0,882.0,308.0,5.3054,<1H OCEAN,4
15747,-122.44,37.78,52.0,2911.0,753.0,1696.0,676.0,2.5721,NEAR BAY,2
14688,-117.08,32.8,25.0,2963.0,552.0,1162.0,556.0,3.625,NEAR OCEAN,3
5793,-118.24,34.14,27.0,2909.0,1021.0,2614.0,935.0,2.1444,<1H OCEAN,2
12260,-116.96,33.79,21.0,2990.0,691.0,2108.0,660.0,2.0135,INLAND,2
6926,-118.08,34.01,32.0,1973.0,401.0,1322.0,386.0,3.4861,<1H OCEAN,3
4492,-118.22,34.06,52.0,48.0,6.0,41.0,10.0,10.2264,<1H OCEAN,5
19591,-120.88,37.57,22.0,1440.0,267.0,774.0,249.0,3.9821,INLAND,3
17583,-121.93,37.3,16.0,2111.0,485.0,1285.0,499.0,5.0477,<1H OCEAN,4
20209,-119.21,34.28,27.0,2219.0,312.0,937.0,315.0,5.7601,NEAR OCEAN,4
878,-122.02,37.55,33.0,1325.0,274.0,909.0,267.0,4.5687,NEAR BAY,4
18745,-122.31,40.55,11.0,13714.0,2302.0,6511.0,2267.0,3.5522,INLAND,3
172,-122.25,37.8,36.0,1678.0,606.0,1645.0,543.0,2.2303,NEAR BAY,2
4791,-118.33,34.02,46.0,1528.0,391.0,933.0,366.0,2.1979,<1H OCEAN,2
20608,-121.59,39.1,24.0,1107.0,261.0,768.0,205.0,1.7167,INLAND,2
20123,-119.06,34.62,10.0,416.0,110.0,436.0,70.0,2.2222,<1H OCEAN,2
9828,-121.91,36.62,52.0,541.0,157.0,240.0,145.0,3.5865,<1H OCEAN,3
5529,-118.41,33.96,44.0,1802.0,306.0,753.0,282.0,6.0286,<1H OCEAN,5
5805,-118.26,34.14,51.0,902.0,320.0,650.0,334.0,1.5417,<1H OCEAN,2
6749,-118.08,34.11,42.0,2628.0,525.0,1494.0,523.0,3.9464,<1H OCEAN,3
18191,-122.01,37.37,25.0,2213.0,360.0,1066.0,390.0,7.2165,<1H OCEAN,5
749,-122.05,37.68,32.0,2015.0,318.0,1019.0,340.0,6.1104,NEAR BAY,5
4230,-118.29,34.11,48.0,1448.0,295.0,681.0,287.0,3.2333,<1H OCEAN,3
2787,-118.45,37.37,26.0,3135.0,524.0,1385.0,523.0,4.337,INLAND,3
5627,-118.27,33.77,39.0,1731.0,485.0,2115.0,478.0,1.5369,NEAR OCEAN,2
16156,-122.49,37.78,52.0,3440.0,722.0,1663.0,665.0,3.0278,NEAR BAY,3
8679,-118.33,33.88,30.0,1856.0,444.0,899.0,435.0,3.1505,<1H OCEAN,3
596,-122.08,37.7,32.0,2718.0,447.0,1156.0,410.0,5.2497,NEAR BAY,4
2711,-115.72,32.75,16.0,348.0,99.0,123.0,54.0,2.0938,INLAND,2
19236,-122.65,38.47,24.0,2268.0,330.0,847.0,296.0,3.858,<1H OCEAN,3
777,-122.1,37.65,31.0,1797.0,327.0,796.0,319.0,4.4427,NEAR BAY,3
10305,-117.78,33.88,16.0,1800.0,238.0,871.0,234.0,6.6678,<1H OCEAN,5
8187,-118.11,33.78,16.0,3985.0,567.0,1327.0,564.0,7.9767,<1H OCEAN,5
11708,-120.2,39.12,15.0,2146.0,361.0,197.0,76.0,4.1316,INLAND,3
14249,-117.09,32.72,39.0,1273.0,246.0,770.0,242.0,2.0938,NEAR OCEAN,2
10099,-117.95,33.93,37.0,2633.0,630.0,1904.0,630.0,2.6123,<1H OCEAN,2
11096,-117.87,33.83,27.0,2287.0,,1140.0,351.0,5.6163,<1H OCEAN,4
18003,-121.99,37.27,27.0,2937.0,497.0,1454.0,511.0,5.4051,<1H OCEAN,4
3838,-118.44,34.19,29.0,1599.0,459.0,1143.0,438.0,2.4583,<1H OCEAN,2
16113,-122.5,37.75,46.0,2298.0,457.0,1429.0,477.0,4.0217,NEAR OCEAN,3
10369,-117.67,33.64,11.0,2722.0,554.0,1565.0,508.0,5.1645,<1H OCEAN,4
457,-122.25,37.87,42.0,1756.0,465.0,2184.0,422.0,2.5562,NEAR BAY,2
6819,-118.09,34.09,40.0,855.0,208.0,745.0,222.0,3.0125,<1H OCEAN,3
17295,-119.61,34.43,16.0,2665.0,391.0,794.0,311.0,9.0267,<1H OCEAN,5
16843,-122.44,37.63,35.0,5113.0,959.0,3004.0,964.0,4.7625,NEAR OCEAN,4
12106,-117.34,33.98,10.0,17286.0,4952.0,9851.0,4616.0,1.7579,INLAND,2
13632,-117.34,34.07,46.0,1851.0,425.0,1100.0,377.0,2.0461,INLAND,2
13152,-121.51,36.86,36.0,1019.0,168.0,602.0,169.0,2.625,INLAND,2
113,-122.25,37.83,52.0,2376.0,559.0,939.0,519.0,3.1484,NEAR BAY,3
18323,-122.13,37.44,43.0,3004.0,440.0,1088.0,427.0,9.1508,NEAR BAY,5
824,-122.08,37.63,34.0,1619.0,293.0,1148.0,310.0,4.0326,NEAR BAY,3
16615,-120.92,35.4,23.0,2059.0,354.0,636.0,278.0,3.6908,NEAR OCEAN,3
12661,-121.42,38.51,15.0,7901.0,1422.0,4769.0,1418.0,2.8139,INLAND,2
16485,-121.15,38.21,18.0,4176.0,700.0,2164.0,699.0,4.0365,INLAND,3
14025,-117.15,32.76,36.0,2644.0,674.0,1211.0,654.0,3.0445,NEAR OCEAN,3
2960,-119.04,35.35,27.0,4590.0,897.0,2212.0,894.0,3.1753,INLAND,3
7150,-118.15,34.02,43.0,2172.0,605.0,2386.0,597.0,2.8239,<1H OCEAN,2
2406,-119.31,36.62,25.0,831.0,230.0,947.0,244.0,1.4481,INLAND,1
19060,-122.41,38.16,37.0,1549.0,,863.0,275.0,2.7457,NEAR BAY,2
723,-122.1,37.67,34.0,3659.0,897.0,2479.0,903.0,2.9564,NEAR BAY,2
4967,-118.29,34.01,30.0,1385.0,518.0,1730.0,472.0,1.0539,<1H OCEAN,1
3336,-122.5,38.82,12.0,2394.0,443.0,877.0,341.0,2.5625,INLAND,2
485,-122.26,37.86,35.0,5161.0,1744.0,3276.0,1742.0,1.6307,NEAR BAY,2
19550,-121.01,37.62,35.0,2074.0,477.0,1687.0,431.0,2.0885,INLAND,2
8030,-118.13,33.84,35.0,3008.0,674.0,1584.0,671.0,3.5465,<1H OCEAN,3
10105,-117.95,33.92,18.0,2825.0,660.0,1590.0,643.0,3.6106,<1H OCEAN,3
11282,-117.95,33.78,26.0,4115.0,883.0,2184.0,825.0,3.9536,<1H OCEAN,3
17383,-120.41,34.96,9.0,2712.0,428.0,1116.0,415.0,4.5536,<1H OCEAN,4
19874,-119.31,36.34,32.0,1893.0,453.0,1744.0,425.0,1.4729,INLAND,1
17214,-119.71,34.44,52.0,1837.0,343.0,711.0,355.0,4.1316,<1H OCEAN,3
3435,-118.42,34.26,26.0,1788.0,521.0,2582.0,484.0,2.1062,<1H OCEAN,2
7775,-118.09,33.9,36.0,1215.0,279.0,862.0,285.0,3.7604,<1H OCEAN,3
3267,-122.9,39.09,15.0,2483.0,544.0,835.0,380.0,1.9141,INLAND,2
14493,-117.19,32.86,19.0,3716.0,563.0,1788.0,587.0,5.2113,NEAR OCEAN,4
12224,-116.95,33.68,11.0,1183.0,178.0,543.0,147.0,4.4792,INLAND,3
367,-122.13,37.74,41.0,4400.0,666.0,1476.0,648.0,5.0,NEAR BAY,4
17573,-121.92,37.32,31.0,1902.0,554.0,1485.0,494.0,2.4207,<1H OCEAN,2
1041,-120.98,38.34,27.0,3471.0,653.0,1793.0,600.0,3.5508,INLAND,3
6376,-118.03,34.15,43.0,1694.0,283.0,674.0,267.0,4.1797,INLAND,3
4998,-118.29,33.99,46.0,2198.0,530.0,2067.0,497.0,2.0542,<1H OCEAN,2
16501,-121.06,37.86,24.0,1713.0,328.0,1258.0,324.0,2.683,INLAND,2
1787,-122.35,37.93,28.0,1995.0,488.0,1182.0,439.0,2.3352,NEAR BAY,2
11558,-117.99,33.77,29.0,1312.0,267.0,922.0,255.0,3.1902,<1H OCEAN,3
9850,-121.89,36.6,19.0,656.0,200.0,248.0,173.0,1.2656,<1H OCEAN,1
19457,-120.93,37.67,6.0,3491.0,657.0,2075.0,644.0,3.3844,INLAND,3
3892,-118.55,34.21,33.0,3910.0,838.0,2097.0,810.0,3.8247,<1H OCEAN,3
10435,-117.62,33.43,23.0,4052.0,955.0,1950.0,859.0,4.0647,NEAR OCEAN,3
5787,-118.24,34.15,19.0,4852.0,1465.0,3171.0,1332.0,2.5924,<1H OCEAN,2
17536,-121.88,37.35,49.0,1728.0,350.0,1146.0,391.0,3.5781,<1H OCEAN,3
16850,-122.42,37.62,40.0,1545.0,264.0,756.0,282.0,4.4643,NEAR OCEAN,3
6797,-118.14,34.08,24.0,2999.0,786.0,2937.0,796.0,2.9405,<1H OCEAN,2
2468,-119.89,36.64,34.0,1422.0,237.0,716.0,222.0,2.975,INLAND,2
18778,-122.25,40.42,17.0,1429.0,265.0,692.0,245.0,2.8611,INLAND,2
4118,-118.22,34.14,52.0,1388.0,271.0,735.0,239.0,3.7404,<1H OCEAN,3
19077,-122.49,38.27,8.0,5092.0,988.0,1657.0,936.0,3.5625,NEAR BAY,3
16006,-122.46,37.74,51.0,1905.0,291.0,707.0,284.0,6.2561,NEAR BAY,5
10590,-117.78,33.69,16.0,4702.0,806.0,2529.0,814.0,5.1299,<1H OCEAN,4
15455,-117.29,33.18,17.0,821.0,176.0,436.0,168.0,3.1667,NEAR OCEAN,3
10189,-117.96,33.87,37.0,1785.0,360.0,1155.0,403.0,4.7984,<1H OCEAN,4
16798,-122.44,37.66,36.0,1447.0,276.0,799.0,275.0,4.7639,NEAR OCEAN,4
394,-122.33,37.89,42.0,1342.0,291.0,551.0,266.0,4.5268,NEAR BAY,4
7668,-118.08,33.92,38.0,1335.0,,1011.0,269.0,3.6908,<1H OCEAN,3
14245,-117.1,32.7,42.0,2002.0,488.0,1505.0,464.0,1.5057,NEAR OCEAN,2
5052,-118.34,34.01,37.0,4291.0,1102.0,1941.0,953.0,1.7945,<1H OCEAN,2
5324,-118.44,34.05,22.0,3970.0,871.0,1588.0,791.0,4.8618,<1H OCEAN,4
5922,-117.73,34.12,26.0,1279.0,163.0,412.0,157.0,6.1731,INLAND,5
18649,-121.99,36.96,16.0,875.0,201.0,300.0,157.0,2.625,NEAR OCEAN,2
621,-122.17,37.73,52.0,1555.0,289.0,620.0,292.0,3.7159,NEAR BAY,3
6726,-118.11,34.12,52.0,2954.0,371.0,1152.0,347.0,11.5609,<1H OCEAN,5
1725,-122.37,37.95,35.0,215.0,45.0,100.0,34.0,1.6023,NEAR BAY,2
14013,-117.18,32.74,39.0,3132.0,738.0,1200.0,690.0,2.5288,NEAR OCEAN,2
12561,-121.46,38.55,40.0,2077.0,435.0,1454.0,385.0,2.0074,INLAND,2
3314,-122.79,39.02,23.0,642.0,203.0,265.0,84.0,1.8833,INLAND,2
1082,-121.84,39.73,52.0,857.0,232.0,520.0,198.0,0.987,INLAND,1
2135,-119.72,36.8,23.0,2128.0,442.0,1047.0,450.0,2.625,INLAND,2
13711,-117.21,34.08,5.0,5749.0,1385.0,2382.0,1088.0,3.0587,INLAND,3
10727,-117.81,33.64,4.0,1741.0,225.0,811.0,233.0,12.3411,<1H OCEAN,5
13426,-117.38,34.2,16.0,193.0,45.0,312.0,76.0,3.7578,INLAND,3
13340,-117.67,34.02,16.0,3042.0,524.0,1516.0,475.0,4.8906,INLAND,4
14354,-117.23,32.75,23.0,2415.0,653.0,1275.0,596.0,3.1389,NEAR OCEAN,3
2630,-124.21,40.75,32.0,1218.0,331.0,620.0,268.0,1.6528,NEAR OCEAN,2
1252,-122.51,39.3,19.0,1629.0,386.0,551.0,214.0,1.7463,INLAND,2
16589,-121.43,37.74,52.0,994.0,258.0,623.0,264.0,1.725,INLAND,2
12119,-117.21,33.97,3.0,18356.0,2537.0,8437.0,2342.0,5.6409,INLAND,4
7452,-118.17,33.95,23.0,1991.0,584.0,1380.0,535.0,1.9107,<1H OCEAN,2
5002,-118.32,34.01,52.0,3104.0,645.0,1498.0,581.0,2.6667,<1H OCEAN,2
13954,-117.1,34.21,22.0,4397.0,931.0,1145.0,445.0,4.5268,INLAND,4
5459,-118.47,33.99,34.0,1875.0,501.0,1491.0,526.0,2.8417,<1H OCEAN,2
11799,-121.27,38.87,16.0,2094.0,358.0,1092.0,357.0,4.4769,INLAND,3
3395,-118.3,34.26,40.0,1065.0,214.0,605.0,183.0,4.1964,<1H OCEAN,3
10562,-117.76,33.72,11.0,4508.0,618.0,1993.0,573.0,10.4498,<1H OCEAN,5
1659,-121.91,37.93,13.0,1610.0,198.0,703.0,217.0,8.7059,INLAND,5
10150,-117.92,33.89,18.0,2895.0,487.0,1116.0,429.0,5.4716,<1H OCEAN,4
10202,-117.92,33.87,44.0,308.0,87.0,301.0,100.0,2.1991,<1H OCEAN,2
3391,-118.35,34.21,42.0,1073.0,220.0,804.0,226.0,3.75,<1H OCEAN,3
19768,-122.0,39.94,27.0,852.0,176.0,464.0,148.0,1.7125,INLAND,2
20581,-122.21,38.83,20.0,1138.0,221.0,459.0,209.0,3.1534,INLAND,3
2984,-119.01,35.34,36.0,973.0,219.0,613.0,187.0,1.5625,INLAND,2
19898,-119.25,36.27,23.0,1494.0,275.0,678.0,235.0,2.6875,INLAND,2
8795,-118.44,33.79,27.0,2141.0,260.0,635.0,240.0,11.6648,NEAR OCEAN,5
1467,-121.99,37.96,16.0,3324.0,479.0,1470.0,461.0,7.6166,INLAND,5
14420,-117.22,32.8,23.0,1906.0,525.0,1029.0,491.0,2.93,NEAR OCEAN,2
19283,-122.73,38.4,30.0,3689.0,746.0,2250.0,697.0,2.975,<1H OCEAN,2
2476,-120.08,36.34,18.0,1524.0,414.0,2030.0,356.0,2.1153,INLAND,2
14056,-117.13,32.75,31.0,2336.0,656.0,1186.0,609.0,2.5872,NEAR OCEAN,2
503,-122.28,37.85,52.0,610.0,145.0,281.0,132.0,2.9018,NEAR BAY,2
3409,-118.31,34.26,36.0,1882.0,453.0,1005.0,409.0,3.8,<1H OCEAN,3
2712,-115.64,32.75,19.0,377.0,69.0,198.0,55.0,1.625,INLAND,2
12,-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,NEAR BAY,3
13641,-117.33,34.05,26.0,613.0,149.0,431.0,130.0,1.3977,INLAND,1
570,-122.24,37.72,5.0,18634.0,2885.0,7427.0,2718.0,7.611,NEAR BAY,5
11414,-117.98,33.69,22.0,3957.0,520.0,1774.0,527.0,7.0907,<1H OCEAN,5
8646,-118.4,33.87,45.0,2093.0,497.0,842.0,472.0,6.3231,<1H OCEAN,5
13724,-117.19,34.06,37.0,1467.0,348.0,1316.0,339.0,1.448,INLAND,1
14573,-117.21,32.81,27.0,1318.0,216.0,495.0,191.0,5.2837,NEAR OCEAN,4
8353,-118.32,33.95,44.0,2023.0,325.0,992.0,326.0,4.6667,<1H OCEAN,4
3370,-118.27,34.27,27.0,5205.0,859.0,2363.0,888.0,6.1946,<1H OCEAN,5
18486,-121.57,36.98,14.0,5231.0,817.0,2634.0,799.0,4.9702,INLAND,4
9149,-118.5,34.46,17.0,10267.0,,4956.0,1483.0,5.5061,<1H OCEAN,4
13718,-117.19,34.08,5.0,4458.0,751.0,2392.0,773.0,4.5938,INLAND,4
4279,-118.31,34.09,37.0,773.0,,835.0,312.0,1.8576,<1H OCEAN,2
2189,-120.08,36.72,22.0,1339.0,251.0,820.0,276.0,3.6,INLAND,3
20584,-121.95,38.65,19.0,1265.0,228.0,755.0,218.0,3.3472,INLAND,3
12735,-121.34,38.59,23.0,2912.0,421.0,1132.0,410.0,5.9174,INLAND,4
16658,-120.66,35.26,15.0,5540.0,1319.0,2383.0,1165.0,2.2656,NEAR OCEAN,2
8427,-118.35,33.92,29.0,736.0,232.0,584.0,231.0,3.6167,<1H OCEAN,3
3217,-119.65,36.33,47.0,1059.0,268.0,693.0,241.0,1.3882,INLAND,1
15871,-122.41,37.76,52.0,351.0,81.0,308.0,75.0,2.6667,NEAR BAY,2
4863,-118.27,34.03,51.0,1280.0,422.0,1560.0,381.0,1.7115,<1H OCEAN,2
11311,-117.96,33.78,33.0,1520.0,,658.0,242.0,4.875,<1H OCEAN,4
1051,-120.71,38.34,16.0,1257.0,231.0,559.0,213.0,4.4531,INLAND,3
17401,-120.44,34.93,16.0,2098.0,558.0,1252.0,492.0,2.1509,<1H OCEAN,2
19531,-120.98,37.64,40.0,1791.0,359.0,679.0,322.0,2.1458,INLAND,2
17747,-121.74,37.29,6.0,7292.0,1295.0,2468.0,1262.0,5.6411,<1H OCEAN,4
15135,-116.92,32.85,23.0,1378.0,269.0,767.0,266.0,4.0625,<1H OCEAN,3
5670,-118.31,33.73,52.0,1642.0,287.0,692.0,288.0,4.1812,NEAR OCEAN,3
2071,-119.85,36.74,35.0,1191.0,190.0,537.0,182.0,3.5375,INLAND,3
14621,-117.17,32.78,17.0,3845.0,1051.0,3102.0,944.0,2.3658,NEAR OCEAN,2
20056,-119.1,35.79,19.0,1809.0,477.0,2051.0,416.0,1.8144,INLAND,2
17173,-122.29,37.41,30.0,6373.0,854.0,2149.0,798.0,10.6868,NEAR OCEAN,5
1732,-122.35,37.96,32.0,1991.0,504.0,1139.0,423.0,2.0353,NEAR BAY,2
19878,-119.27,36.34,7.0,3433.0,626.0,1793.0,626.0,3.5296,INLAND,3
3823,-118.47,34.2,25.0,4590.0,1477.0,2723.0,1195.0,2.7118,<1H OCEAN,2
11309,-117.96,33.78,26.0,2136.0,557.0,1528.0,537.0,2.4931,<1H OCEAN,2
9860,-121.86,36.6,21.0,3634.0,1011.0,1985.0,917.0,2.9085,<1H OCEAN,2
11528,-118.08,33.77,26.0,2013.0,551.0,664.0,510.0,2.2708,<1H OCEAN,2
1481,-122.04,37.96,28.0,1207.0,252.0,724.0,252.0,3.6964,NEAR BAY,3
8628,-118.39,33.88,31.0,1448.0,244.0,607.0,259.0,8.1513,<1H OCEAN,5
3125,-117.76,35.22,4.0,18.0,3.0,8.0,6.0,1.625,INLAND,2
5321,-118.43,34.05,52.0,1693.0,290.0,727.0,305.0,6.7115,<1H OCEAN,5
919,-121.96,37.51,22.0,5811.0,1125.0,3215.0,1086.0,4.4107,<1H OCEAN,3
10566,-117.76,33.71,15.0,1010.0,350.0,470.0,342.0,3.2229,<1H OCEAN,3
4612,-118.29,34.07,22.0,492.0,269.0,634.0,261.0,1.6406,<1H OCEAN,2
1079,-121.82,39.73,44.0,2923.0,659.0,1371.0,626.0,2.2925,INLAND,2
8685,-118.31,33.86,29.0,2243.0,361.0,1051.0,352.0,6.6632,<1H OCEAN,5
11969,-117.43,33.98,21.0,2634.0,421.0,1376.0,406.0,4.2589,INLAND,3
2847,-118.95,35.4,23.0,4483.0,894.0,2136.0,883.0,3.6875,INLAND,3
20096,-120.24,38.01,11.0,1214.0,228.0,633.0,199.0,3.125,INLAND,3
5979,-117.75,34.12,25.0,5411.0,998.0,2243.0,1019.0,4.3148,INLAND,3
18875,-122.22,38.07,4.0,15654.0,2394.0,7025.0,2168.0,5.8171,NEAR BAY,4
15678,-122.43,37.8,52.0,1976.0,726.0,1045.0,669.0,3.6893,NEAR BAY,3
14059,-117.13,32.75,37.0,4142.0,1031.0,1936.0,968.0,2.693,NEAR OCEAN,2
20463,-118.75,34.27,20.0,3495.0,449.0,1629.0,428.0,5.8096,<1H OCEAN,4
20300,-119.19,34.15,31.0,4175.0,1004.0,3310.0,954.0,3.1989,NEAR OCEAN,3
4439,-118.19,34.1,39.0,2054.0,423.0,1205.0,403.0,4.239,<1H OCEAN,3
8326,-118.3,33.94,36.0,3504.0,862.0,2521.0,836.0,2.5679,<1H OCEAN,2
279,-122.18,37.81,37.0,1643.0,262.0,620.0,266.0,5.4446,NEAR BAY,4
12485,-121.48,38.58,42.0,1823.0,566.0,761.0,503.0,1.245,INLAND,1
3970,-118.56,34.19,34.0,2185.0,372.0,986.0,347.0,4.8125,<1H OCEAN,4
4108,-118.37,34.13,28.0,4287.0,627.0,1498.0,615.0,8.5677,<1H OCEAN,5
3173,-119.69,36.38,25.0,1688.0,302.0,879.0,277.0,3.3214,INLAND,3
3192,-119.72,36.34,33.0,1287.0,214.0,580.0,210.0,3.2019,INLAND,3
2861,-118.94,35.41,10.0,3216.0,526.0,1539.0,483.0,6.3639,INLAND,5
17610,-121.91,37.29,36.0,945.0,149.0,371.0,158.0,5.6266,<1H OCEAN,4
10651,-117.77,33.51,29.0,3590.0,772.0,1070.0,603.0,4.4464,<1H OCEAN,3
8000,-118.13,33.85,36.0,2110.0,416.0,1128.0,403.0,4.6019,<1H OCEAN,4
16287,-121.28,37.91,31.0,820.0,179.0,576.0,155.0,1.69,INLAND,2
14846,-117.07,32.69,28.0,1485.0,275.0,820.0,283.0,4.069,NEAR OCEAN,3
4109,-118.39,34.14,34.0,4624.0,781.0,1572.0,719.0,6.5533,<1H OCEAN,5
3902,-118.51,34.2,34.0,2871.0,581.0,1350.0,535.0,3.7049,<1H OCEAN,3
10926,-117.89,33.74,32.0,1562.0,365.0,2145.0,347.0,2.9167,<1H OCEAN,2
20538,-121.73,38.56,30.0,3306.0,629.0,1623.0,648.0,2.8614,INLAND,2
5308,-118.44,34.05,32.0,1880.0,435.0,798.0,417.0,4.7109,<1H OCEAN,4
5514,-118.4,33.99,39.0,1613.0,380.0,1113.0,356.0,2.825,<1H OCEAN,2
5981,-117.74,34.1,29.0,2742.0,488.0,2477.0,532.0,3.5072,INLAND,3
4584,-118.27,34.06,45.0,564.0,353.0,1172.0,319.0,1.494,<1H OCEAN,1
348,-122.17,37.75,41.0,1257.0,271.0,828.0,230.0,2.5043,NEAR BAY,2
18562,-122.04,37.0,52.0,3365.0,644.0,796.0,333.0,2.9712,NEAR OCEAN,2
7203,-118.19,34.02,40.0,474.0,124.0,546.0,121.0,2.3438,<1H OCEAN,2
4387,-118.26,34.08,46.0,945.0,250.0,910.0,252.0,3.5039,<1H OCEAN,3
5475,-118.46,34.0,44.0,941.0,230.0,493.0,206.0,3.6458,<1H OCEAN,3
8541,-118.36,33.88,33.0,2408.0,534.0,1644.0,523.0,4.2454,<1H OCEAN,3
19829,-119.38,36.56,14.0,3965.0,804.0,1945.0,733.0,2.6906,INLAND,2
41,-122.26,37.83,51.0,936.0,311.0,517.0,249.0,1.2852,NEAR BAY,1
115,-122.25,37.83,52.0,1279.0,287.0,534.0,291.0,3.1429,NEAR BAY,3
14564,-117.2,32.84,34.0,3353.0,544.0,1583.0,571.0,4.55,NEAR OCEAN,4
3705,-118.39,34.19,41.0,2000.0,485.0,1439.0,461.0,3.0491,<1H OCEAN,3
6443,-118.03,34.1,32.0,2668.0,609.0,1512.0,541.0,2.9422,INLAND,2
12414,-116.21,33.75,22.0,894.0,,830.0,202.0,3.0673,INLAND,3
16123,-122.47,37.78,51.0,1485.0,386.0,880.0,385.0,2.7431,NEAR BAY,2
12478,-121.48,38.59,52.0,1186.0,341.0,1038.0,320.0,1.6116,INLAND,2
2503,-120.46,36.87,20.0,1287.0,310.0,954.0,269.0,1.3386,INLAND,1
12710,-121.39,38.59,34.0,1151.0,234.0,563.0,251.0,2.8,INLAND,2
17623,-121.94,37.26,21.0,3843.0,716.0,1850.0,705.0,4.6758,<1H OCEAN,4
4844,-118.31,34.03,46.0,2173.0,510.0,1343.0,476.0,2.025,<1H OCEAN,2
13172,-121.36,36.81,7.0,4609.0,741.0,1660.0,720.0,5.0871,INLAND,4
12328,-116.53,33.95,18.0,2990.0,648.0,1280.0,532.0,2.625,INLAND,2
7348,-118.16,33.97,39.0,1444.0,447.0,1890.0,416.0,2.1181,<1H OCEAN,2
15161,-117.03,32.97,16.0,3936.0,694.0,1935.0,659.0,4.5625,<1H OCEAN,4
5164,-118.29,33.95,40.0,2808.0,695.0,2357.0,627.0,1.9655,<1H OCEAN,2
11472,-118.0,33.71,19.0,4808.0,1029.0,2422.0,971.0,4.0121,<1H OCEAN,3
13127,-121.31,38.28,16.0,1708.0,391.0,687.0,378.0,1.9485,INLAND,2
1420,-122.06,37.99,16.0,2445.0,469.0,721.0,474.0,2.8043,NEAR BAY,2
4429,-118.22,34.08,31.0,394.0,117.0,573.0,131.0,1.8173,<1H OCEAN,2
